qseqid	sseqid	pident	length	qlen	mismatch	gapopen	gaps	nident	qstart	qend	sstart	send	evalue	qcovs	qcovhsp	bitscore
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0AAQ2ZZ66	36.555	714	14756	435	12	18	261	14012	11898	11	715	5.72e-137	14	14	442
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J2GWX6	36.415	714	14756	436	12	18	260	14012	11898	11	715	6.35e-137	14	14	442
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J2GBE6	36.555	714	14756	435	12	18	261	14012	11898	11	715	7.69e-137	14	14	442
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0AA87C8X6	36.466	713	14756	437	11	16	260	14012	11898	11	715	1.15e-136	14	14	442
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4G3UVW2	36.466	713	14756	437	11	16	260	14012	11898	11	715	1.15e-136	14	14	442
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4V0IR40	36.606	713	14756	436	11	16	261	14012	11898	11	715	1.45e-136	14	14	441
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A0H2ZPI8	36.555	714	14756	435	12	18	261	14012	11898	11	715	1.58e-136	14	14	441
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A0B7KN15	36.555	714	14756	435	12	18	261	14012	11898	11	715	1.58e-136	14	14	441
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|P59653	36.555	714	14756	435	12	18	261	14012	11898	11	715	1.58e-136	14	14	441
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A0T8TNJ6	36.466	713	14756	437	11	16	260	14012	11898	11	715	1.87e-136	14	14	441
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J1ZKC5	36.555	714	14756	435	12	18	261	14012	11898	11	715	2.42e-136	14	14	441
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0AA87CAE1	36.606	713	14756	436	11	16	261	14012	11898	11	715	2.45e-136	14	14	441
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A064C436	36.555	714	14756	435	12	18	261	14012	11898	11	715	3.72e-136	14	14	440
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J2EYX5	36.415	714	14756	436	12	18	260	14012	11898	11	715	3.98e-136	14	14	440
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0AAP5JBQ0	36.325	713	14756	438	11	16	259	14012	11898	11	715	4.26e-136	14	14	440
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A0T8H8N3	36.325	713	14756	438	11	16	259	14012	11898	11	715	4.47e-136	14	14	440
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0AA95DBA8	36.415	714	14756	436	12	18	260	14012	11898	11	715	5.16e-136	14	14	440
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4N9BEB2	36.325	713	14756	438	11	16	259	14012	11898	11	715	5.78e-136	14	14	440
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J2B974	36.466	713	14756	437	11	16	260	14012	11898	11	715	6.24e-136	14	14	440
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J1U5L0	36.466	713	14756	437	11	16	260	14012	11898	11	715	6.42e-136	14	14	440
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A0T8NIQ8	36.415	714	14756	436	12	18	260	14012	11898	11	715	7.27e-136	14	14	439
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A0T8MW44	36.415	714	14756	436	12	18	260	14012	11898	11	715	7.56e-136	14	14	439
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4G4F6L6	36.415	714	14756	436	12	18	260	14012	11898	11	715	7.78e-136	14	14	439
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J1Q9J1	36.325	713	14756	438	11	16	259	14012	11898	11	715	1.17e-135	14	14	439
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J2A842	36.185	713	14756	439	11	16	258	14012	11898	11	715	2.75e-135	14	14	438
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J1S347	36.185	713	14756	439	11	16	258	14012	11898	11	715	2.99e-135	14	14	438
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J1RVQ2	36.415	714	14756	437	12	17	260	14012	11898	11	716	4.65e-135	14	14	437
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	_comA|WP_000668306.1_[organism=Streptococcus_pneumoniae]_[GeneID=45652448]	36.045	713	14756	440	11	16	257	14012	11898	11	715	4.83e-135	14	14	437
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|A0A4J1UYR4	36.275	714	14756	437	12	18	259	14012	11898	11	715	5.79e-135	14	14	437
GCA_001082985.2|CNRH02000002.1_Streptococcus_pneumoniae_strain_R34-3202_genome_assembly,_contig:_R34-3202_contig_101,_whole_genome_shotgun_sequence	comA|Q03727	36.275	714	14756	437	12	18	259	14012	11898	11	715	5.79e-135	14	14	437
